Description,ASIN,Product Description,Manufacturer
" Generous overall size of 32 x 15 x 44 cm (LxBxH)   2 compartments, including a padded laptop compartment ideal for carrying laptops up to 15.6 inches   Bottle pockets on both sides for storing bottles, earphones, tickets and other smaller items   Made with wear-resistant Polyester material for a longer life   Reflectors on backpack promote visibility at night when on the road  ",," Generous overall size of 32 x 15 x 44 cm (LxBxH)   2 compartments, including a padded laptop compartment ideal for carrying laptops up to 15.6 inches   Bottle pockets on both sides for storing bottles, earphones, tickets and other smaller items   Made with wear-resistant Polyester material for a longer life   Reflectors on backpack promote visibility at night when on the road  ",Flab International Pvt. Ltd.
" MULTI-FUNCTION COMPARTMENT: HALF MOON backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: Superior quality durable ECO Friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities    COMFORTABLE DESIGN: Our backpack's ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the backpack comfortable to wear even when loaded with all your gear; Compact:Backpack has a roomy Three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.    Size:18*13*10 inch(L*W*H), Capacity: 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; OTHER FEATURES: Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Water Resistant; Pattern Name: Solid; Water Resistance Level: Water Resistant   ",B0BLVQ9NTD," MULTI-FUNCTION COMPARTMENT: HALF MOON backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: Superior quality durable ECO Friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities    COMFORTABLE DESIGN: Our backpack's ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the backpack comfortable to wear even when loaded with all your gear; Compact:Backpack has a roomy Three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.    Size:18*13*10 inch(L*W*H), Capacity: 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; OTHER FEATURES: Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Water Resistant; Pattern Name: Solid; Water Resistance Level: Water Resistant   ",Half_Moon
" PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. bags for women / kids school bag / college bags for boys / laptop backpack   Front two slanted pocket perfect for quick finds such as your ID for work. keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling   COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men. office bag for women .   Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;   MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ",," PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. bags for women / kids school bag / college bags for boys / laptop backpack   Front two slanted pocket perfect for quick finds such as your ID for work. keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling   COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men. office bag for women .   Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;   MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ","Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528"
" Dual zipper elegant design, foldable and lightweight toiletry storage bag, with top hanging handle and little hanging hook    Keep traveling comfortably, have all your necessities right at hand, no more digging or dumping everything out to find what you need    This bag made of nylon and pearl cotton cushion (durable and lightweight, waterproof) with highest standard workmanship    Our will be your best side kick for travel, business trip, outdoors activities, car, boat and simple at home's bathroom or closet; Makeup bag waterproof for men and women's    Pattern Name: Solid; Age Range Description: Adult   ",B07W22LC2D," Dual zipper elegant design, foldable and lightweight toiletry storage bag, with top hanging handle and little hanging hook    Keep traveling comfortably, have all your necessities right at hand, no more digging or dumping everything out to find what you need    This bag made of nylon and pearl cotton cushion (durable and lightweight, waterproof) with highest standard workmanship    Our will be your best side kick for travel, business trip, outdoors activities, car, boat and simple at home's bathroom or closet; Makeup bag waterproof for men and women's    Pattern Name: Solid; Age Range Description: Adult   ",PETRICE
" Strong stitching at major stress points provide long-lasting durability against daily activities. Main compartment with zip closure   Durable zippers and enhanced by strong stitching at major stress points   Lightweight and fold-able, It's easy to fold up into small compact space.   Water-resistant finish to save inner items from water splashes .   Optimum quality of accessories and zipper for smoother functioning and high durability  ",," Strong stitching at major stress points provide long-lasting durability against daily activities. Main compartment with zip closure   Durable zippers and enhanced by strong stitching at major stress points   Lightweight and fold-able, It's easy to fold up into small compact space.   Water-resistant finish to save inner items from water splashes .   Optimum quality of accessories and zipper for smoother functioning and high durability  ",Freewill Sports Private Limited
" Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort   Smooth zippers that never jam or break   Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use   Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials   The padded shoulder straps, handle, and back panel provides protection and all-day comfort.  ",B08R7RPVJF," Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort   Smooth zippers that never jam or break   Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use   Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials   The padded shoulder straps, handle, and back panel provides protection and all-day comfort.  ",Lenovo
 Lightweight and comfortable to carry   All your everyday essentials at your fingertips   Dependable everyday companion  ,, Lightweight and comfortable to carry   All your everyday essentials at your fingertips   Dependable everyday companion  ,Dell
" Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,  ",B08Z21W4TG," Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,  ",VIP Industries Ltd
 Lightweight and comfortable to carry   All your everyday essentials at your fingertips   Dependable everyday companion  ,, Lightweight and comfortable to carry   All your everyday essentials at your fingertips   Dependable everyday companion  ,Dell
" Padded, Comfortable Shoulder Strap   Easy access front pocket   Soft Grip handles   Stylish Design  ",B0B527KJQZ," Padded, Comfortable Shoulder Strap   Easy access front pocket   Soft Grip handles   Stylish Design  ","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
 Water Proof with attached Rain cover.   Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.   Three big compartments and one bottle holder   Dimensions (LxHxW) CM: 33 x 48 x 21 cm   Comes with the F Gear promise of Quality  ,B07F1157TV, Water Proof with attached Rain cover.   Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.   Three big compartments and one bottle holder   Dimensions (LxHxW) CM: 33 x 48 x 21 cm   Comes with the F Gear promise of Quality  ,Uber Fashion Merchandise Pvt. Ltd.
" Outer Material: Polyester, Color: Blue   Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)   Number of compartments: 3   Laptop Compatible: Fits up to 15.4 laptop   Light Weight   Note : Laptop compartment has no strap  ",B012D4QWES," Outer Material: Polyester, Color: Blue   Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)   Number of compartments: 3   Laptop Compatible: Fits up to 15.4 laptop   Light Weight   Note : Laptop compartment has no strap  ",Wildcraft
" Care Instructions: Hand Wash Only   Made with superior quality material: Nylon Twill, which ensures everlasting shine and soft feel to the bag. Colour: Pink. Unicorn Design Capacity: 27 liters, Weight: 440 g, Dimensions: 43 x 30 x 21 cm Warranty: 12 months   3 Spacious Compartments: Keep your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. One side pocket: For holding water bottle, clipping pens or pencil or storing other items.   Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!   Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.   Easy grab padded handle: For added comfort and convinience to hold the bag.  ",B09N9LYY8X," Care Instructions: Hand Wash Only   Made with superior quality material: Nylon Twill, which ensures everlasting shine and soft feel to the bag. Colour: Pink. Unicorn Design Capacity: 27 liters, Weight: 440 g, Dimensions: 43 x 30 x 21 cm Warranty: 12 months   3 Spacious Compartments: Keep your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. One side pocket: For holding water bottle, clipping pens or pencil or storing other items.   Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!   Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.   Easy grab padded handle: For added comfort and convinience to hold the bag.  ","302-303, A Wing, The Qube CTS No.1498, Andheri East, Mumbai, MH-400059"
" Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black   Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc.   Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle.   Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty.   Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose  ",B07F2H25NP," Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black   Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc.   Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle.   Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty.   Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose  ",Auxter
" Protect your precious 15.6-inch laptop with the padded panels. Dual pocket protection design provides dual compartments for laptops and tablets.   Padded shoulder straps enable comfort even when the bag is at max load, plus a mesh padded back panel to support and keep you cool and comfortable even on extended use.   Special features like Back Trolly sleeve and Padded Grab handle are added advantages of the backpack.   Recharge your notebook and devices while you work or while they're connected to the bank inside your bag; or use the bank as a backup battery.   Rest easy with one-year limited warranty from the manufacturer.  ",," Protect your precious 15.6-inch laptop with the padded panels. Dual pocket protection design provides dual compartments for laptops and tablets.   Padded shoulder straps enable comfort even when the bag is at max load, plus a mesh padded back panel to support and keep you cool and comfortable even on extended use.   Special features like Back Trolly sleeve and Padded Grab handle are added advantages of the backpack.   Recharge your notebook and devices while you work or while they're connected to the bank inside your bag; or use the bank as a backup battery.   Rest easy with one-year limited warranty from the manufacturer.  ","Korrun India Pvt. Ltd., Korrun India Pvt. Ltd."
 Easy Backpack to carry   Convenient Handles   Easy to fold and Store   Sturdy and Durable   Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle  ,, Easy Backpack to carry   Convenient Handles   Easy to fold and Store   Sturdy and Durable   Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle  ,"Vikrant Extrusion , Daman"
 One zippered compartment suitable for keys/napkins/wallet/mobile etc.   One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.   This fanny pack is water resistant.   Premium YKK Japanese Zippers& sliders with an adjustable waist strap.   Comes with The F Gear promise of quality and durability.  ,B0862LF7HS, One zippered compartment suitable for keys/napkins/wallet/mobile etc.   One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.   This fanny pack is water resistant.   Premium YKK Japanese Zippers& sliders with an adjustable waist strap.   Comes with The F Gear promise of quality and durability.  ,F Gear
" Care Instructions: Machine Wash   SPACIOUS & STURDY: Measuring 17 inch x 14.5 inch in medium size with a 4 inch bottom gusset, these canvas tote bags for women stylish are light weight with an inner pocket to store your essentials.   CANVAS TOTE BAG WITH ZIP: These big ladies handbags for women come with zip closure & have a zippered pocket inside. It has ample capacity to fit your groceries, books & carry travelling essentials.   AESTHETIC HANDBAG : These shoulder bags for women with latest original graphic design give major boho Y2k fashion vibes & are just the right utility totebag for carrying laptop to work or school, Also makes a cute gifts for women & girls.   REUSABLE & EASY TO WASH: These cute printed cotton tote bags for women are machine washable & have multiple use, they can easily be used as beach bag, shopping bag with zip, side bag for college, gym, travel, office purse.   ECO FRIENDLY & ETHICAL: All our simple totes are vegan and made in ethically certified facilities (SEDEX 4-pillar) that run on solar power. All our cloth hand bags are packaged in recycled packaging. Quick delivery & easy return.  ",B06XRQRDCY," Care Instructions: Machine Wash   SPACIOUS & STURDY: Measuring 17 inch x 14.5 inch in medium size with a 4 inch bottom gusset, these canvas tote bags for women stylish are light weight with an inner pocket to store your essentials.   CANVAS TOTE BAG WITH ZIP: These big ladies handbags for women come with zip closure & have a zippered pocket inside. It has ample capacity to fit your groceries, books & carry travelling essentials.   AESTHETIC HANDBAG : These shoulder bags for women with latest original graphic design give major boho Y2k fashion vibes & are just the right utility totebag for carrying laptop to work or school, Also makes a cute gifts for women & girls.   REUSABLE & EASY TO WASH: These cute printed cotton tote bags for women are machine washable & have multiple use, they can easily be used as beach bag, shopping bag with zip, side bag for college, gym, travel, office purse.   ECO FRIENDLY & ETHICAL: All our simple totes are vegan and made in ethically certified facilities (SEDEX 4-pillar) that run on solar power. All our cloth hand bags are packaged in recycled packaging. Quick delivery & easy return.  ",EcoRight
" Size - 25 x 15 x 13.5 cm. A large compartment and Mesh pockets to keep all personal belongings (Shaving Kit, Cosmetic, Shampoo, Facial Cleanser, Toothbrush, etc.) in one place; Suitable for personal Travel   Water-resistant material -- High Quality water-resistant fabric (durable and Lightweight); strong hanging hook, best zipper and high standard workmanship to ensure your toiletry bag.   Handy User-friendly design -- Main compartment features mesh pockets and main storage room for large item organize; Zippered front pocket adding extra storage   Easy to carry and hang -- A built-in strong hanging hook, easy to keep on towel racks, shower rods or on door knobs. Durable carrying handle convenient to carry or hung up.   Multiple Applications -- Ideal for vacation, business, gym, camping or outdoor activity.  ",," Size - 25 x 15 x 13.5 cm. A large compartment and Mesh pockets to keep all personal belongings (Shaving Kit, Cosmetic, Shampoo, Facial Cleanser, Toothbrush, etc.) in one place; Suitable for personal Travel   Water-resistant material -- High Quality water-resistant fabric (durable and Lightweight); strong hanging hook, best zipper and high standard workmanship to ensure your toiletry bag.   Handy User-friendly design -- Main compartment features mesh pockets and main storage room for large item organize; Zippered front pocket adding extra storage   Easy to carry and hang -- A built-in strong hanging hook, easy to keep on towel racks, shower rods or on door knobs. Durable carrying handle convenient to carry or hung up.   Multiple Applications -- Ideal for vacation, business, gym, camping or outdoor activity.  ",Inventure Retail
" Grey Colour Backpack for Men for Stylish Office use as well as for Trendy College and School students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories and water bottle   Capacity: 25 liters; Weight: 500 grams; Dimensions: 30 cms x 20 cms x 42 cms (LxWxH)   The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.   USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag   Warranty- 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty  ",B07J46KLFP," Grey Colour Backpack for Men for Stylish Office use as well as for Trendy College and School students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories and water bottle   Capacity: 25 liters; Weight: 500 grams; Dimensions: 30 cms x 20 cms x 42 cms (LxWxH)   The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.   USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag   Warranty- 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty  ",Fur Jaden
" SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 1-2 days stay. The bag comes with a separate compartment compatible with a laptop and a tablet.   HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.   COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.   BREATHABLE BACK SUPPORT: Seek is equipped with premium quality air mesh in its back panel - A premium quality back air mesh made for maximum aeration, that prevents overheating & provides ulltimate comfort.   Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack  ",B097JM98M1," SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 1-2 days stay. The bag comes with a separate compartment compatible with a laptop and a tablet.   HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.   COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.   BREATHABLE BACK SUPPORT: Seek is equipped with premium quality air mesh in its back panel - A premium quality back air mesh made for maximum aeration, that prevents overheating & provides ulltimate comfort.   Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack  ",Safari
" Made of multi-coated 600D polyester Material ; Water Repellent   Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters   Small Size backpack; Laptop Compatibility: No   This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more   With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books   6 months limited warranty  ",," Made of multi-coated 600D polyester Material ; Water Repellent   Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters   Small Size backpack; Laptop Compatibility: No   This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more   With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books   6 months limited warranty  ","Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka"
" Wesley laptop bag professional series 15.6 inch   Laptop compartment with dual zippered access and thick foam padding, protects your laptop very well.   Made of top fabric, designed to be very lightweight and slim, but stylish, practical and durable.   Luggage strap which helps to easily fix the briefcase on handle of your trolley   Trendy look and design. Dimensions: 40 x30x7 cm  ",," Wesley laptop bag professional series 15.6 inch   Laptop compartment with dual zippered access and thick foam padding, protects your laptop very well.   Made of top fabric, designed to be very lightweight and slim, but stylish, practical and durable.   Luggage strap which helps to easily fix the briefcase on handle of your trolley   Trendy look and design. Dimensions: 40 x30x7 cm  ","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
" Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.   Herringbone Texture- 45 cm in length x 14 cm in width x 30 cm in height   Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.   This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.   The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.  ",B07PKHC72N," Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.   Herringbone Texture- 45 cm in length x 14 cm in width x 30 cm in height   Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.   This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.   The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.  ",Lavie
" Outer Material: Polyester, Color: Sea Blue   Not water resistant. With Rain Cover:No   Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)   Number of compartments: 2; Laptop Compatibility: No   Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket   Drawstring, 2 Compartments, Compact Size  ",B07Q7CNPMV," Outer Material: Polyester, Color: Sea Blue   Not water resistant. With Rain Cover:No   Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)   Number of compartments: 2; Laptop Compatibility: No   Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket   Drawstring, 2 Compartments, Compact Size  ",Safari Industries (India) Ltd
 Both Professional and Stylish   Large zippered main compartment with laptop sleeve up to 17”.   Adjustable straps fit perfectly over the shoulders   Size-(LxHxW) Cm-(31x46x21) Cm   It Comes With the F Gear Promise of Quality  ,B071XJ6XV5, Both Professional and Stylish   Large zippered main compartment with laptop sleeve up to 17”.   Adjustable straps fit perfectly over the shoulders   Size-(LxHxW) Cm-(31x46x21) Cm   It Comes With the F Gear Promise of Quality  ,Uber Fashion Merchandise Pvt. Ltd.
" Size:18*13*9 inch(L*W*H), Capacity: 36L which is bigger than others of the same style. Good size for Business, College, camping, travel, shopping, hiking, climbing, Stylish backpack for men and women.; This soft Zipline backpack is classic, nice & modern look and feel, back pack shows your outstanding temperament; Pocket Description: Utility Pocket; Pattern Name: Solid; Pattern Name: Solid; Pocket Description: Utility Pocket    Compartment Description: Not Laptop Compatible; Special Features: Light-Weight    Age Range Description: Adult   ",B08WQ668WJ," Size:18*13*9 inch(L*W*H), Capacity: 36L which is bigger than others of the same style. Good size for Business, College, camping, travel, shopping, hiking, climbing, Stylish backpack for men and women.; This soft Zipline backpack is classic, nice & modern look and feel, back pack shows your outstanding temperament; Pocket Description: Utility Pocket; Pattern Name: Solid; Pattern Name: Solid; Pocket Description: Utility Pocket    Compartment Description: Not Laptop Compatible; Special Features: Light-Weight    Age Range Description: Adult   ",Atulitu Agency
